       
          2006   2007   2008   2009   2010   2011   2012   2013   2014
  BIZ        0      0      0      0      1      1      2      0      0
  CMO        0      0      0      0      0      0     39      1      0
  CTI        0      4      3      1      2      9      0      0      0
  EDC        0      0      0      0      0      0     53     91     28
  EIP        0    129     16      4     23     17     51     18      1
  EMAIL      0   1762   4181   4883   3538   3164   4274   3981   1101
  FAX        0    297    248    214    420     78    125     22      4
  INSPE      0   3192   7661    362    330    183    134     44      5
  MAIL       0      0      0      0     44     30     95     27      4
  PHONE      1  77003 120595 107601  89751  78886  71546  71903  19111
  SPNSH      0      0      0      0      0      0      0     18      2
  SYS        0      0      0    498   5490   3886   3166   2669    455
  TWIR       0      0      0      0      0      0      0    507    252
  VOICE      0    210   1037   1201   2786    765     43      2      0
  WALK       0      7    225    280    342    182    287    209     37
  WEB        0    604   4178   4441   7957   9459  11177  13503   3606
                                     
                                       2006  2007  2008  2009  2010  2011  2012  2013  2014
  Aviation                                0    14    21     7     8    11     8    11     2
  City Managers Office                    0   994   976  1075  1040   906   749   825   129
  City Planning and Development           0   708   939   745   934   748   685   647   161
  Convention and Entertainment Center     0    13     7     0     3     0     3     2     0
  Fire                                    0    33    31    37    40    46    41    46     6
  General Service                         0     0    28   127    21    14    10    17    11
  Health                                  0   882  1431  1456  1904  2007  2156  2172   392
  Housing Community Dev                   0     0     0   116   145    64    17     0     0
  Information Technology                  0     1     0    14     2     2     0     0     0
  IT                                      0     0     0     0     1     0     0     0     0
  KCPD                                    0  1407  2795  2619  2375  1857  1672  1671   515
  NCS                                     1 34820 46203 36479 41901 35340 38218 34980  7443
  Parks & Rec                             0  4928  6674  4375  4509  4358  4169  5965   566
  Parks & Recreation                      0     0     0    11     0     0     0     0     0
  Public Works                            0 34779 68995 57159 39048 33125 25416 31263 10499
  Water Services                          0  4629 10044 15265 18753 18182 17848 15396  4882
                                                    
                                                      2006  2007  2008  2009  2010  2011  2012  2013  2014
  Aviation--                                             0    14    21     7     8    11     8    11     2
  City Managers Office-Action Center-                    0    77   155   153   365   444   362   467    52
  City Managers Office-Action Center-Supervisors         0     0     0     0     0    24    44    63     2
  City Managers Office-Action Center-Support             0   690   459   563   321   241   198   203    64
  City Managers Office-Administration-                   0    14    19     9     5     4     9    12     2
  City Managers Office-Capital Projects-                 0     0     0     0    23   101    63     0     0
  City Managers Office-CIMO-                             0   112   144   170   162     0     0     0     0
  City Managers Office-Emergency Management-             0     5    14     5     8     4     5     6     1
  City Managers Office-PIAC-                             0    96   185   175   156    88    68    74     8
  City Planning and Development-Adminstration-           0    21    27    21    36    22    13    15    10
  City Planning and Development-Elevators-               0     0     5     7     5     4    12     8     2
  City Planning and Development-Investigations-          0   664   852   689   884   712   655   608   144
  City Planning and Development-Land Develop-Inspect     0    23    55    28     9    10     5    16     5
  Convention and Entertainment Center--                  0    13     7     0     3     0     3     2     0
  Fire--                                                 0    33    31    37    40    46    41    46     6
  General Service-City Property-                         0     0     0    66     0     0     0     0     0
  General Service-Facility Management-                   0     0    28    61    21    14    10    17    11
  Health--                                               0   299   376   498    22     0     4     8     3
  Health-Air Quality-                                    0     0     0     0   161   166   151   115    28
  Health-Communicable Disease Control-                   0     0     0     0     0     1     2     0     0
  Health-Community Environmental Health-                 0     0     0     0    65    74    76    94    20
  Health-Food Protection-                                0     0     0     0   382   411   426   605   111
  Health-Healthy Homes-                                  0     0     0     0    34    27    36    18     4
  Health-Healthy Homes-Bedbugs                           0     0     0     0     9    57    82    59    19
  Health-Lead Poisoning Prevention-                      0     0     0     0     4     7     2     1     0
  Health-Noise Control-                                  0     0     0     0   175   175   291   260    38
  Health-Rat-                                            0   583  1055   958   996  1046  1063   979   161
  Health-Tobacco Control-                                0     0     0     0    56    43    23    33     8
  Housing Community Dev-Property Preservation            0     0     0   116   145    64    17     0     0
  Information Technology-Email issue-                    0     1     0     4     0     0     0     0     0
  Information Technology-ERP Testing-DML                 0     0     0    10     2     2     0     0     0
  IT-testing emails-                                     0     0     0     0     1     0     0     0     0
  KCPD-Parking Control-                                  0  1407  2795  2619  2375  1857  1672  1671   515
  NCS-Administration-                                    0    64    75    77   113   109   106    25     2
  NCS-Animal Health and Safety-                          0 13018 12640 10181  8967  8821  9636 10196  2775
  NCS-Animal Health and Safety-Admin                     0   351   111   193   261   419   356   318    73
  NCS-Animal Health and Safety-Jackson County            0     0   318   349   275   342   300     1     0
  NCS-Dangerous Buildings-                               0   528  7089  4751    13  1112  1229   651   136
  NCS-HazardousStructure                                 0     0     0     0     0    91  3202    17     0
  NCS-Neighborhood-Abatement                             0     0     0     0     0   329     0     2     0
  NCS-Neighborhood Preservation-                         1 18750 25837 19618 29840 18658 18039 18485  3501
  NCS-Neighborhood Preservation-Abatement                0     0     0    68   342   306   282   131     3
  NCS-Neighborhood Preservation-Administration           0     0     0     0     6     6    75    62    17
  NCS-Neighborhood Preservation-DART                     0     0     0     0   126   118    66    31    25
  NCS-Neighborhood Preservation-Illegal Dumping          0     0     0     0    98   706   730   648   199
  NCS-Neighborhood Preservation-LT List                  0     0     0   983   921  1182   666  1049     6
  NCS-Neighborhood Preservation-Open Entry               0     0     0    12   801  2799  3031  2909   644
  NCS-Neighborhood Preservation-Priority                 0     0     0     0     1     8   404   288    36
  NCS-Neighborhood Preservation-Programs                 0     0     0     0     0     0     3     2     0
  NCS-Neighborhood Referrals-Supervisors                 0     0     0     0    10    25     0     0     0
  NCS-Neighborhood Services                              0     0     0     7     5     3     4    22     0
  NCS-NPD-Assesments                                     0     0     0     0     0     1     2     0     0
  NCS-Property Preservation-                             0     5    62   134     0     0    13    40     0
  NCS-Regulated Industries-                              0     0    11    16    24    15    18    18     8
  NCS-Salvage-                                           0     0     0     0     1   219    22     6     0
  NCS-Tow-Administration                                 0    86    60    90    97    71    34    79    18
  NCS-Tow Services-                                      0  2018     0     0     0     0     0     0     0
  Parks & Rec-Administration-                            0    45    32    32    41    38    28    29     7
  Parks & Rec-Brush Creek-Maintenance                    0     0     0     0     0     0    14     0     0
  Parks & Rec-Central Region-                            0   170   218   196   142   163   197   239    33
  Parks & Rec-Community Services-                        0     0     0     5    21    26    31    49     7
  Parks & Rec-Facility Maintenance-                      0     0    60    54    44    40    40    56     3
  Parks & Rec-Landscape Services-BRWF                    0     0     0     0    15     1     6     1     0
  Parks & Rec-Landscape Services-Forestry                0  3171  4048  2981  3571  3667  3540  5021   431
  Parks & Rec-Landscape Services-Forestry Technical      0     0     0     0     0     0     0    17    22
  Parks & Rec-Landscape Services-Landscaping             0     0     0     0     0     0     0    47     2
  Parks & Rec-Landscape Services-LT List                 0     0     0    37     0     0     0     0     0
  Parks & Rec-Landscape Services-ROWWeeds                0    23    14     2     0     0     0     0     0
  Parks & Rec-Landscape Services-Visability              0   170   184    48     0     0     0     0     0
  Parks & Rec-Landscape Services-Weeds                   0  1152  1704   730   341   168    67   141     2
  Parks & Rec-North Region-                              0   135   247   145   158   120   111   175    20
  Parks & Rec-Planning and Design                        0     1    24    25    34    47    33    40    11
  Parks & Rec-South Region-                              0    61   143   120   142    88   102   150    28
  Parks & Recreation-Landscape Services-BRWF             0     0     0    11     0     0     0     0     0
  Public Works- Sidewalks- GO Bonds                      0     0     0     0     0     0    28    11     0
  Public Works-Administration-                           0    80   229   217   214    86    86   169    53
  Public Works-Capital Projects-                         0     0     0     0     0     0   182   251    55
  Public Works-Capital Projects-Traffic Control          0     0     0     0     0     0     0    12   134
  Public Works-Capital Projects-Traffic Permits          0     0     0     0     0     0     0    19   204
  Public Works-Coordination Service-Bicycle              0     0     0     0     0     0     0     0     2
  Public Works-Facilities Maintenance-                   0    12     3     0     0     0     0     0     0
  Public Works-Parking Division-                         0    30   452   311   299   395   402   362    15
  Public Works-Snow and Ice-Administration               0     0     0     0     1   489    25   419   347
  Public Works-Solid Waste-                              0 18891 47395 40442 20451 14842 12373 12414  3213
  Public Works-Solid Waste-Abatement Referral            0     0     0     0     0     1     0     0     0
  Public Works-Solid Waste-Administration                0  2988  6661  3597  2773  1980  1946  2055   440
  Public Works-Street and Traffic-Administration         0     0     0     0    61   108   109   237    90
  Public Works-Street and Traffic-District 1             0  1439   867   751  1005   762   546   770   350
  Public Works-Street and Traffic-District 2             0  2157  1350   783  1215   870   710   889   228
  Public Works-Street and Traffic-District 3             0  2372  1702  1139  1773  1357   844  1357   406
  Public Works-Street and Traffic-Preservation           0   528   746   306   219   350   165   333    25
  Public Works-Street and Traffic-Project Planning       0     0     0     0     0     3     9     5     0
  Public Works-Street and Traffic-Rural Mowing           0     0     0     9   252   237   224   315     8
  Public Works-Street and Traffic-Sidewalks              0   470   537   470   402   374   345   403    99
  Public Works-Street and Traffic-Signs                  0  1357  1825  1935  1853  1873  2126  2318   663
  Public Works-Street and Traffic-Snow                   0  1033  2458  3042  3124  3885   531  3234  3081
  Public Works-Street and Traffic-Street Operations      0    59    38    48    41    42    35    30     1
  Public Works-Street and Traffic-Streetlights           0  1708  2529  2260  3073  3370  2505  2988   673
  Public Works-Street and Traffic-Streetlights Staff     0     0     0     0    32    27    37    48     5
  Public Works-Street and Traffic-Traffic Control        0   883  1084   827   678   517   603   646     0
  Public Works-Street and Traffic-Traffic Permits        0    37    32   218   384   304   468   587     0
  Public Works-Street and Traffic-Traffic Signals        0   735  1087   804  1167  1252  1117  1391   407
  Public Works-Streets and Traffic-Administration        0     0     0     0    31     0     0     0     0
  Public Works-Streets and Traffic-Project Planning      0     0     0     0     0     1     0     0     0
  Water Services-Administration-                         0   102   258   418   439   358   314   262    45
  Water Services-Administration-Restoration              0     4   124   311   282     3     0     0     0
  Water Services-Automatic Meter Reading-VSI             0     0    26   146    23     0     0     0     0
  Water Services-Consumer Services-Back Office Suppo     0     0     0     0     0     0    27   452    65
  Water Services-Engineering-Stormwater                  0     0     0     0     0    45    53    64    13
  Water Services-Engineering-Water and Sewer             0     0     0     1    21   292   468   359    55
  Water Services-Facility-Engineering                    0   289   251   168   227   116     0     0     0
  Water Services-Industrial Waste Control-               0     0    13    11    23    15    12    10     2
  Water Services-Laboratory Services-                    0    14   102   333   285   431   328   338    78
  Water Services-Line Maintenance-Ice Abatement          0     0     0     0     0     0    35   103   129
  Water Services-Line Maintenance-Leaf Brush             0     0     0     0     0     0     0   375     1
  Water Services-Line Maintenance-Pipeline               0  1699  2861  2793  3831  4393  3697  1114   429
  Water Services-Line Maintenance-Restoration            0     0     0     0     7    34   371  1704   462
  Water Services-Line Maintenance-Stormwater             0  1043  1705  1720  1985  1612  1468  1538   297
  Water Services-Line Maintenance-Wastewater             0   740  1603  2227  2597  2309  2778  3014   741
  Water Services-Meter & Field Services-                 0     0  1325  7133  9033  8505  7622  6062  2565
  Water Services-Meter & Field Services-Supervisors      0     0     0     0     0    69   675     1     0
  Water Services-Reading-                                0   738  1776     4     0     0     0     0     0
   
     2006  2007  2008  2009  2010  2011  2012  2013  2014
        1  7640 12853  9792  1950  1429  1061   353    16
  1     0 12939 22532 17953 13162  9585  7443  9258  3139
  2     0  7953 16328 12725 10160  7465  5631  6796  2241
  3     0 18420 28190 25287 27428 26085 26840 23803  5650
  4     0 11843 18156 16366 18588 17622 17364 18317  4812
  5     0 14911 23107 21680 23215 20394 19549 19598  4952
  6     0  9502 16978 15682 16181 14080 13104 14870  3796
                                
                                  2006  2007  2008  2009  2010  2011  2012  2013  2014
